module,chunk,chunk_kib,depth,n,total_ns_median,total_ns_mad,engine_ns_median,construct_ns_median,mibps_median,wall_per_chunk_ns_median,instructions_median,instructions_per_byte,instructions_per_chunk,cpu_us_median
replica-aligned,32768,32.0,4,7,213125877,23716106,213110672,16070,600.584039,52032.684814,64444188.0,0.480147,15733.444336,425026
replica-aligned,32768,32.0,8,7,248181360,17837531,248156110,23614,515.751868,60591.152344,64996638.0,0.484263,15868.319824,459084
replica-aligned,49152,48.0,1,7,485196794,93859970,485190484,5724,263.810482,177662.685463,45215847.0,0.336884,16556.516661,564527
replica-aligned,49152,48.0,2,7,228213597,10236119,228205494,8103,560.878062,83564.11461,43728746.0,0.325805,16011.99048,433711
replica-aligned,49152,48.0,4,7,229068466,13698377,229052592,16568,558.784901,83877.138777,43917914.0,0.327214,16081.257415,433334
replica-aligned,49152,48.0,8,7,205092716,7634756,205069174,24393,624.107977,75098.028561,44295735.0,0.330029,16219.60271,407694
replica-aligned,65536,64.0,1,7,475135082,17393964,475129567,5718,269.397072,231999.551758,34618281.0,0.257926,16903.45752,522319
replica-aligned,65536,64.0,2,7,216460137,9683430,216447183,12634,591.332897,105693.42627,33508303.0,0.249656,16361.476074,392177
replica-aligned,65536,64.0,4,7,217675905,13877487,217658503,17350,588.030173,106287.062988,33655421.0,0.250752,16433.311035,391891
replica-aligned,65536,64.0,8,7,216521073,13204799,216468577,27417,591.166477,105723.180176,33944353.0,0.252905,16574.391113,402517
replica-aligned,1048576,1024.0,1,7,197783634,2454969,197766302,15894,647.171848,1545184.640625,4825406.0,0.035952,37698.484375,283301
replica-aligned,1048576,1024.0,2,7,144190027,9057683,144171039,20769,887.717429,1126484.585938,4761379.0,0.035475,37198.273438,269993
replica-aligned,1048576,1024.0,4,7,140872106,4902229,140850395,28518,908.625587,1100563.328125,4786598.0,0.035663,37395.296875,283702
replica-aligned,1048576,1024.0,8,7,147483898,5685657,147445480,38874,867.891354,1152217.953125,4838697.0,0.036051,37802.320312,292196
replica-natural,4096,4.0,1,7,2299224051,123018459,2299219376,4880,55.670956,70166.749603,511280749.0,3.809338,15603.050201,2572332
replica-natural,4096,4.0,2,7,806969743,36092027,806962696,6827,158.618091,24626.762177,423173276.0,3.152887,12914.223511,1567566
replica-natural,4096,4.0,4,7,960831711,80897018,960822049,9900,133.217918,29322.256805,432514887.0,3.222487,13199.306854,1839124
replica-natural,4096,4.0,8,7,843598851,66506262,843581003,16695,151.730885,25744.593842,438624086.0,3.268004,13385.744812,1603716
replica-natural,6144,6.0,1,7,1685009439,105288215,1685004549,5068,75.963966,77131.256935,341808311.0,2.54667,15646.265266,1822383
replica-natural,6144,6.0,2,7,903912722,63406237,903905476,6539,141.606592,41376.577955,321168622.0,2.392893,14701.484116,1592443
replica-natural,6144,6.0,4,7,867240145,165227181,867230867,9826,147.594643,39697.891834,318332281.0,2.37176,14571.650691,1569376
replica-natural,6144,6.0,8,7,919177100,178014406,919160719,16823,139.254992,42075.304404,324886517.0,2.420593,14871.670649,1606297
replica-natural,8192,8.0,1,7,1157145947,69702261,1157141123,5180,110.616989,70626.583679,257060076.0,1.915247,15689.701904,1276665
replica-natural,8192,8.0,2,7,517245969,45539641,517239147,6822,247.464471,31570.188538,228520680.0,1.702612,13947.79541,988228
replica-natural,8192,8.0,4,7,509070968,33706185,509060593,10374,251.43842,31071.226074,237386539.0,1.768668,14488.9245,944901
replica-natural,8192,8.0,8,7,482909986,74193206,482894020,16532,265.05975,29474.48645,241641667.0,1.800371,14748.636902,918058
replica-natural,12288,12.0,1,7,847660990,58654137,847656085,5002,151.003764,77603.313192,172324655.0,1.283919,15776.311911,1011536
replica-natural,12288,12.0,2,7,439644132,25890158,439637748,6709,291.144566,40249.394122,163498958.0,1.218162,14968.319875,821378
replica-natural,12288,12.0,4,7,386895498,18545204,386885321,10101,330.838691,35420.259819,166102889.0,1.237563,15206.709604,746923
replica-natural,12288,12.0,8,7,372519151,49972176,372501576,16576,343.606496,34104.106106,158960660.0,1.184349,14552.838964,725524
replica-natural,16384,16.0,1,7,727425806,21452534,727421157,5153,175.962963,88797.095459,129949336.0,0.968198,15862.956055,845539
