mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
ladder,read,a3,0,8192,8,1,256,0,16,16,20305.0,80.5,1269.0625,0.0,4291.107142857143,14316.464285714286,
ladder,read,a3,0,8192,16,1,256,0,16,16,19618.0,145.0,1226.125,0.0,4291.116071428572,1258.1785714285713,
ladder,read,a3,0,8192,32,1,256,0,16,16,20450.0,240.0,1278.125,0.0,4290.366071428572,-701.5,
ladder,read,a3,0,16384,1,1,256,0,16,16,29002.0,411.0,1812.625,0.0,8070.5625,9777.526785714286,
ladder,read,a3,0,16384,2,1,256,0,16,16,29172.0,681.0,1823.25,0.0,8072.714285714285,1750.2232142857142,
ladder,read,a3,0,16384,4,1,256,0,16,16,30174.0,611.0,1885.875,0.0,8070.982142857143,7176.169642857143,
ladder,read,a3,0,16384,8,1,256,0,16,16,29166.5,79.5,1822.90625,0.0,8072.116071428572,3855.6696428571427,
ladder,read,a3,0,16384,16,1,256,0,16,16,28120.0,706.5,1757.5,0.0,8075.794642857143,772.2678571428571,
ladder,read,a3,0,16384,32,1,256,0,16,16,29517.5,105.5,1844.84375,0.0,8075.8125,2204.839285714286,
ladder,read,a3,0,65536,1,1,256,0,16,16,83508.0,7956.0,5219.25,0.0,30766.01785714286,28017.848214285714,
ladder,read,a3,0,65536,2,1,256,0,16,16,99734.0,571.0,6233.375,0.0,30763.79464285714,8988.330357142857,
ladder,read,a3,0,65536,4,1,256,0,16,16,82741.5,746.5,5171.34375,0.0,30763.785714285714,3797.9910714285716,
ladder,read,a3,0,65536,8,1,256,0,16,16,76934.5,766.0,4808.40625,0.0,30763.85714285714,6301.794642857143,
ladder,read,a3,0,65536,16,1,256,0,16,16,87520.5,4569.0,5470.03125,0.0,30766.14285714286,15763.3125,
ladder,read,a3,0,65536,32,1,256,0,16,16,81108.0,3917.5,5069.25,0.0,30765.633928571428,11527.875,
ladder,read,a3,0,1048576,1,1,256,0,16,16,1710210.5,88242.0,106888.15625,0.0,484607.25,140493.99107142858,
ladder,read,a3,0,1048576,2,1,256,0,16,16,1813321.5,120655.5,113332.59375,0.0,484607.78571428574,147501.9642857143,
ladder,read,a3,0,1048576,4,1,256,0,16,16,1567818.0,55929.0,97988.625,0.0,484607.46428571426,131043.41964285714,
ladder,read,a3,0,1048576,8,1,256,0,16,16,1819453.0,181850.0,113715.8125,0.0,484607.16964285716,157802.79464285713,
ladder,read,a3,0,1048576,16,1,256,0,16,16,1643415.0,24693.0,102713.4375,0.0,484607.79464285716,53119.107142857145,
ladder,read,a3,0,1048576,32,1,256,0,16,16,1837489.0,111041.5,114843.0625,0.0,484607.48214285716,112693.25892857143,
ladder,read,a4,0,4096,1,1,512,0,16,16,15515.0,34.5,969.6875,0.0,2399.2321428571427,111.41071428571429,
ladder,read,a4,0,4096,2,1,512,0,16,16,15841.0,10.5,990.0625,0.0,2398.5625,1164.982142857143,
ladder,read,a4,0,4096,4,1,512,0,16,16,15420.0,40.0,963.75,0.0,2398.848214285714,-715.3839285714286,
ladder,read,a4,0,4096,8,1,512,0,16,16,16092.0,19.5,1005.75,0.0,2398.1964285714284,134.38392857142858,
