arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z2,5.788094656808036,63.471165248325896,1904.9002423967634,64,2944.060860770089,True,write,16384,4096,4193.4814453125,134.46044921875,2719.1797485351562,0,True
z3w1,8.097150530133929,66.24608503069196,2524.4163905552455,64,3932.217520577567,True,write,16384,4096,4345.64208984375,96.923828125,2335.7750854492188,0,True
z3w4,11.585806710379464,85.359619140625,2777.489676339286,64,3974.2418387276784,True,write,16384,4096,8640.380859375,1123.96240234375,3475.8511962890625,0,True
z1,4.346958705357143,746.7427455357143,11879.6123046875,8,6923.029994419643,True,write,1024,65536,14529.296875,3336.9140625,10576.828125,0,True
z1b,4.020368303571429,620.4917689732143,9177.292271205357,8,6953.0322265625,True,write,1024,65536,17809.5703125,0.0,10217.345703125,0,True
z1bw,9.780831473214286,414.0931919642857,6827.6025390625,8,7278.681222098215,True,write,1024,65536,21395.5078125,2969.7265625,12872.505859375,0,True
z2,14.446568080357142,734.4045758928571,11353.33775111607,8,9507.309151785714,True,write,1024,65536,15931.640625,1861.328125,10535.5869140625,0,True
z3w1,20.951450892857142,786.4660993303571,11387.63267299107,8,11562.9833984375,True,write,1024,65536,15416.9921875,2824.21875,11098.4541015625,0,True
z1,5.55859375,5754.12890625,115566.60658482143,8,108043.89508928571,True,write,256,1048576,192171.875,0.0,104680.8046875,0,True
z1b,5.435825892857143,4749.285714285715,152970.578125,8,108078.33984375,True,write,256,1048576,115890.625,46011.71875,107046.88671875,0,True
z1bw,33.29799107142857,8334.421316964286,168957.05636160713,8,108846.2578125,True,write,256,1048576,135160.15625,94812.5,127051.53125,0,True
z2,42.70814732142857,5007.715959821428,160194.58761160713,8,111345.8359375,True,write,256,1048576,164500.0,18250.0,125981.67578125,0,True
z3w1,99.46819196428571,8873.31640625,237257.98660714287,8,115233.33537946429,True,write,256,1048576,149242.1875,34035.15625,117925.08203125,0,True
