arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,perf_wrapped,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z1bw,3.1745779854910716,55.608328683035715,937.6532244001116,64,809.6577497209821,True,write,16384,,4096,7698.18115234375,116.88232421875,3245.5757446289062,0,True
z2,6.146658761160714,68.84870256696429,1942.9686192103795,64,2977.7025756835938,True,write,16384,,4096,4784.72900390625,118.95751953125,2267.8786010742188,0,True
z3w1,8.095694405691964,61.058053152901785,2417.8719656808034,64,3809.6781703404017,True,write,16384,,4096,5333.251953125,0.06103515625,2449.15576171875,0,True
z3w4,,,,64,,True,write,16384,False,4096,8093.07861328125,510.07080078125,3155.8616333007812,0,True
z1,3.146484375,688.6494140625,7825.952008928572,8,6925.889090401785,True,write,1024,,65536,21004.8828125,0.0,11281.74609375,0,True
z1b,3.5245535714285716,678.7364676339286,5543.0751953125,8,6949.472237723215,True,write,1024,,65536,10631.8359375,9478.515625,11129.400390625,0,True
z1bw,8.852260044642858,428.4638671875,7826.807756696428,8,7286.555385044643,True,write,1024,,65536,23725.5859375,7531.25,13174.841796875,0,True
z2,14.669921875,688.5216238839286,9073.481166294643,8,9507.365792410714,True,write,1024,,65536,18200.1953125,4671.875,10630.224609375,0,True
z3w1,20.130580357142858,657.0200892857143,9764.96177455357,8,11694.491908482143,True,write,1024,,65536,16413.0859375,4648.4375,11375.1259765625,0,True
z3w4,,,,8,,True,write,1024,False,65536,47793.9453125,6961.9140625,19014.8720703125,0,True
z1,5.633928571428571,4069.0563616071427,80186.00446428571,8,108046.84263392857,True,write,256,,1048576,171503.90625,60437.5,88351.9765625,0,True
z1b,8.033482142857142,4795.390625,116880.70424107143,8,108080.01785714286,True,write,256,,1048576,133511.71875,53660.15625,87708.26171875,0,True
z1bw,32.717075892857146,4931.803013392857,148130.9799107143,8,108863.00111607143,True,write,256,,1048576,160640.625,33265.625,117208.6328125,0,True
z2,29.990513392857142,3321.3856026785716,119231.07310267857,8,111322.51450892857,True,write,256,,1048576,169539.0625,35636.71875,110244.1015625,0,True
z3w1,60.32700892857143,6363.422991071428,144729.91573660713,8,115142.76283482143,True,write,256,,1048576,125242.1875,44953.125,99647.078125,0,True
z3w4,,,,8,,True,write,256,False,1048576,182843.75,38675.78125,109694.8046875,0,True
