arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[459543.71121651784, 459543.68694196426]",True,read,512,2097152,260257.27982954544,1073741824,88972.47869318182,"[337039.056640625, 334231.7734375, 335622.126953125, 336896.814453125, 336637.658203125, 335156.583984375, 336742.939453125, 335146.98046875, 335386.712890625, 337231.123046875, 334654.51953125]",8388255058653085696,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[461277.15011160716, 461277.1476004464]",True,read,512,2097152,257040.48295454544,1073741824,70580.078125,"[330249.63671875, 327848.236328125, 328179.5625, 330119.708984375, 327799.4765625, 329936.353515625, 329467.345703125, 327581.359375, 327638.3671875, 329982.689453125, 327690.62890625]",8388255058653085696,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[462654.87946428574, 462654.841796875]",True,read,512,2097152,255749.28977272726,1073741824,66726.02982954546,"[324587.720703125, 324847.55859375, 322205.216796875, 322724.2421875, 324408.357421875, 322340.076171875, 325329.669921875, 324502.4921875, 322486.37109375, 322825.19140625, 324180.111328125]",8388255058653085696,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[458950.6143973214, 458950.6121651786]",True,read,512,2097152,255138.13920454544,1073741824,67247.86931818182,"[324754.591796875, 324147.794921875, 322571.056640625, 322637.564453125, 324502.095703125, 322035.474609375, 324670.775390625, 324422.91015625, 322332.576171875, 322543.169921875, 323629.35546875]",8388255058653085696,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[459005.6805245536, 459005.681640625]",True,read,512,2097152,260916.015625,1073741824,73949.57386363637,"[332353.509765625, 332015.958984375, 337028.890625, 348920.142578125, 351971.16796875, 336643.171875, 331478.27734375, 331557.189453125, 333104.572265625, 331052.712890625, 331093.986328125]",8388255058653085696,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[216023.7787388393, 216025.13699776787]",True,write,512,2097152,867839.4886363636,1073741824,276921.51988636365,"[817420.9140625, 818880.244140625, 816490.5, 818107.578125, 819338.61328125, 821352.966796875, 819167.876953125, 822400.658203125, 816792.93359375, 818714.240234375, 818275.857421875]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[218719.32589285713, 218719.3607700893]",True,write,512,2097152,810133.7002840909,1073741824,284806.8181818182,"[786003.6328125, 786569.03515625, 785033.423828125, 784982.123046875, 785556.40625, 786410.380859375, 786812.451171875, 787605.017578125, 787452.943359375, 783179.876953125, 786351.306640625]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[215220.32310267858, 215220.25362723213]",True,write,512,2097152,873454.1903409091,1073741824,200678.6221590909,"[840462.701171875, 842420.51171875, 843940.64453125, 838083.888671875, 839437.34765625, 858374.154296875, 834453.2421875, 836112.822265625, 836120.095703125, 836865.033203125, 834477.21484375]",,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[215167.8696986607, 215167.78041294642]",True,write,512,2097152,883658.3806818182,1073741824,204867.00994318182,"[6442529.783203125, 831359.62890625, 830173.650390625, 831665.86328125, 830684.17578125, 831219.552734375, 836065.447265625, 831408.80078125, 830757.923828125, 831610.494140625, 830482.365234375]",,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,btrfs,"[223289.73409598213, 223289.64341517858]",True,write,512,2097152,874630.859375,1073741824,243921.34232954544,"[840771.341796875, 838196.142578125, 843665.556640625, 838312.79296875, 843759.091796875, 842643.724609375, 842569.15234375, 838853.888671875, 828843.95703125, 807444.595703125, 823342.34765625]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[1104.020265851702, 1110.9712524414062]",True,read,65536,4096,2438.3988813920455,268435456,577.9294100674716,"[1776.40673828125, 1715.9856719970703, 1631.2394561767578, 1641.7425079345703, 1631.3460083007812, 1643.2898254394531, 1634.287841796875, 1633.1515197753906, 1647.6055755615234, 1642.0695190429688, 1656.3162994384766]",15932121819945435136,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[4439.692934308733, 4149.349057878767]",True,read,65536,4096,3014.162930575284,268435456,1319.3733908913352,"[2556.9276580810547, 2545.512908935547, 2545.198760986328, 2556.897171020508, 2548.253387451172, 2617.929901123047, 2609.751663208008, 2612.3442993164062, 2607.3453063964844, 2639.2347106933594, 2645.994842529297]",15932121819945435136,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[1051.968745640346, 1056.9708884102959]",True,read,65536,4096,2427.0227605646305,268435456,564.605712890625,"[1637.569580078125, 1646.4544982910156, 1643.6408233642578, 1638.56494140625, 1655.7711944580078, 1648.9180145263672, 1636.8100891113281, 1632.040023803711, 1646.1565704345703, 1634.7464447021484, 1635.9197387695312]",15932121819945435136,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[1394.191907610212, 1395.3660256522041]",True,read,65536,4096,4227.4710915305395,268435456,1448.2657692649148,"[2470.043426513672, 2443.6434631347656, 2443.8721923828125, 2442.6953887939453, 2454.309371948242, 2441.504165649414, 2457.638961791992, 2462.9595947265625, 2441.0655517578125, 2453.064743041992, 2438.2142028808594]",15932121819945435136,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[3230.056577410017, 3226.988512311663]",True,read,65536,4096,2735.964688387784,268435456,1015.870527787642,"[2208.3631591796875, 2212.6497344970703, 2207.5912322998047, 2204.362503051758, 2201.629592895508, 2204.076370239258, 2207.755828857422, 2212.273880004883, 2219.4275512695312, 2216.3020935058594, 2209.782516479492]",15932121819945435136,1,True
