phase,arm,size,slots,regime,ops_per_rep,kc,window_bytes,alloc_ns_median,alloc_ns_mad,alloc_ns_per_buffer,io_ns_median,io_ns_mad,io_ns_per_first_read,io_ns_per_op,total_to_first_io_ns_median,total_to_first_io_ns_mad,total_to_first_io_ns_per_buffer,touch_ns_median,touch_ns_mad,touch_ns_per_page,destroy_ns_median,minflt_alloc_median,minflt_io_median,minflt_touch_median,minflt_total_median,construct_ns,construct_minflt,prefault_ns,prefault_minflt,instructions_per_unit,cycles_per_unit
C,b1,65536,32,pinned,512,16,33554432,,,,11961130.5,500071.0,,23361.5830078125,,,,,,,,,0.0,,,125614,34,940315,480,30426.561662946428,8678.309151785714
C,b1,65536,128,pinned,2048,16,134217728,,,,54737055.5,3674454.5,,26727.077880859375,,,,,,,,,0.0,,,445003,130,3330754,1920,30415.011160714286,6875.199288504465
C,b1,1048576,1,pinned,16,16,16777216,,,,6724528.5,411504.0,,420283.03125,,,,,,,,,0.0,,,7285,3,437910,255,485802.01785714284,133281.35714285713
C,b1,1048576,8,pinned,128,16,134217728,,,,61928341.5,3757279.0,,483815.16796875,,,,,,,,,0.0,,,35088,10,3878608,2040,485497.12723214284,174499.05580357142
C,b1,1048576,32,pinned,256,8,268435456,,,,200132683.5,39653995.0,,781768.294921875,,,,,,,,,0.0,,,239595,34,51060980,8160,485481.13058035716,109612.14955357143
C,b1,1048576,128,pinned,256,2,268435456,,,,113949479.5,2575603.5,,445115.154296875,,,,,,,,,0.0,,,600896,130,82571743,32640,485479.47823660716,136652.11104910713
C,b2,4096,1,pinned,16,16,65536,,,,10706.0,15.0,,669.125,,,,,,,,,,,,6583,2,2876,1,2306.6071428571427,662.625
C,b2,4096,8,pinned,128,16,524288,,,,92409.5,436.0,,721.94921875,,,,,,,,,,,,13146,2,13777,8,2014.8895089285713,1011.5625
C,b2,4096,32,pinned,512,16,2097152,,,,382357.0,22849.5,,746.791015625,,,,,,,,,,,,44376,2,54636,32,1989.4171316964287,543.37890625
C,b2,4096,128,pinned,2048,16,8388608,,,,1981666.0,269162.5,,967.6103515625,,,,,,,,,,,,196782,2,275465,128,1975.3118722098213,597.9925362723214
C,b2,65536,1,pinned,16,16,1048576,,,,75606.5,606.5,,4725.40625,,,,,,,,,,,,3697,2,31791,16,30733.053571428572,8662.705357142857
C,b2,65536,8,pinned,128,16,8388608,,,,637142.0,29377.0,,4977.671875,,,,,,,,,,,,11663,2,220508,128,30463.01339285714,5728.209821428572
C,b2,65536,32,pinned,512,16,33554432,,,,4058863.0,353671.0,,7927.466796875,,,,,,,,,,,,73472,2,1110445,512,30421.993582589286,5689.998325892857
C,b2,65536,128,pinned,2048,16,134217728,,,,18721418.5,1020896.5,,9141.317626953125,,,,,,,,,,,,183546,2,4665103,2048,30415.334402901786,6987.64599609375
C,b2,1048576,1,pinned,16,16,16777216,,,,1810703.5,224525.5,,113168.96875,,,,,,,,,,,,3947,2,419775,256,485662.0714285714,112934.3125
C,b2,1048576,8,pinned,128,16,134217728,,,,16265619.5,626299.0,,127075.15234375,,,,,,,,,,,,17724,2,4132511,2048,485484.08816964284,101857.49553571429
C,b2,1048576,32,pinned,256,8,268435456,,,,56548074.5,4446668.0,,220890.916015625,,,,,,,,,,,,77861,2,1728431515,8192,485485.7176339286,190419.30245535713
C,b2,1048576,128,pinned,256,2,268435456,,,,52371851.5,1354265.0,,204577.544921875,,,,,,,,,,,,232111,2,76142848,32768,485487.85212053574,140156.44363839287
C,b3,4096,1,pinned,16,16,65536,,,,10130.0,10.0,,633.125,,,,,,,,,,,,4839,3,1884,1,1951.2589285714287,4997.5
C,b3,4096,8,pinned,128,16,524288,,,,86904.0,632.0,,678.9375,,,,,,,,,,,,29267,10,12926,8,2038.7723214285713,-373.57589285714283
C,b3,4096,32,pinned,512,16,2097152,,,,355229.5,8802.0,,693.8076171875,,,,,,,,,,,,108901,34,58473,32,1988.3602120535713,445.865234375
C,b3,4096,128,pinned,2048,16,8388608,,,,1804628.0,92960.5,,881.166015625,,,,,,,,,,,,438511,130,217291,128,1975.9942801339287,453.8003627232143
C,b3,65536,1,pinned,16,16,1048576,,,,66303.5,756.5,,4143.96875,,,,,,,,,,,,4990,3,29307,16,30727.348214285714,-1294.9464285714287
C,b3,65536,8,pinned,128,16,8388608,,,,724862.0,87620.0,,5662.984375,,,,,,,,,,,,30199,10,223052,128,30469.90625,6158.003348214285
C,b3,65536,32,pinned,512,16,33554432,,,,3868032.0,210433.5,,7554.75,,,,,,,,,,,,188707,34,1033356,512,30433.5,5480.692522321428
C,b3,65536,128,pinned,2048,16,134217728,,,,22238778.0,1965880.0,,10858.7783203125,,,,,,,,,,,,441847,130,4411661,2048,30415.294294084822,7393.130510602678
C,b3,1048576,1,pinned,16,16,16777216,,,,1921473.5,249379.0,,120092.09375,,,,,,,,,,,,8727,3,425947,256,485705.3125,118181.3125
C,b3,1048576,8,pinned,128,16,134217728,,,,17967663.5,1256424.0,,140372.37109375,,,,,,,,,,,,41060,10,3733166,2048,485489.4698660714,122460.55915178571
C,b3,1048576,32,pinned,256,8,268435456,,,,56283561.0,3779995.5,,219857.66015625,,,,,,,,,,,,133760,34,196904513,8192,485482.4972098214,195576.6166294643
C,b3,1048576,128,pinned,256,2,268435456,,,,52327455.0,1277235.0,,204404.12109375,,,,,,,,,,,,541852,130,67389666,32768,485494.1484375,148047.37276785713
D,b0,4096,1,pinned,1,,,5510.5,125.5,5510.5,,,,,,,,30.0,0.0,30.0,4118.0,2.0,,,,,,,,129305.0,43784.0
D,b0,4096,8,pinned,8,,,41561.0,4208.0,5195.125,,,,,,,,50.0,10.0,6.25,29783.0,16.0,,,,,,,,56291.28571428572,21292.410714285714
D,b0,4096,32,pinned,32,,,186081.5,25114.0,5815.046875,,,,,,,,240.5,90.5,7.515625,130348.0,64.0,,,,,,,,8715.183035714286,5269.566964285715
D,b0,4096,128,pinned,128,,,598992.0,16047.0,4679.625,,,,,,,,686.0,80.0,5.359375,464546.5,256.0,,,,,,,,2489.643973214286,2570.2890625
